Migrate Guest ::node1 :: VM_Task_1 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_1 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_1 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_10 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_14 :: Cannot migrate the guest
Migrate Guest ::node1 :: VM_Task_11 :: Cannot migrate the guest
Terminate Guest ::node1 :: VM_Task_11 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_1 :: Successfully migrated the guest
Migrate Guest ::node1 :: VM_Task_1 :: Cannot migrate the guest


Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node2 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node2 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node2 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node2 :: VM_Task_15 :: Successfully migrated the guest
Terminate Guest ::node1 :: VM_Task_15 :: Successfully migrated the guest
2014-12-01 04:06:28.547199::Migrate Guest ::node1 :: VM_Task_100 :: Cannot migrate the guest


2014-12-01 04:06:44.823865::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:06:52.553318::Migrate Guest ::node1 :: VM_Task_100 :: Cannot migrate the guest


2014-12-01 04:06:56.663147::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:07:08.246736::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:07:54.118743::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:08:05.949543::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:08:29.768512::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:08:52.941862::Migrate Guest ::node1 :: VM_Task_13 :: Cannot migrate the guest


2014-12-01 04:11:42.496056::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:12:16.892794::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:12:28.586784::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


2014-12-01 04:12:44.270513::Migrate Guest ::node1 :: VM_Task_12 :: Successfully migrated the guest
2014-12-01 04:12:59.418323::Migrate Guest ::node3 :: VM_Task_12 :: Successfully migrated the guest
2014-12-01 04:13:45.048099::Migrate Guest ::node1 :: VM_Task_12 :: Cannot migrate the guest


